House_Type
Block Of Flats
Bungalow
Detached House
Duplex
Flat
Maisonette
Penthouse
Semi-Detached House
Studio Apartment
Terraced House

bedrooms,bathrooms,toilets,parking_space,House_Type,town,state,price
5.0,5.0,3.0,6.0,Block Of Flats,Utako,FCT,250000000
4.0,5.0,5.0,4.0,Flat,Port Harcourt,Rivers,85000000
4.0,4.0,4.0,2.0,Penthouse,Kuje,FCT,13000000
6.0,6.0,7.0,5.0,Penthouse,Isheri,Lagos,140000000
4.0,4.0,5.0,4.0,Studio Apartment,Life Camp,FCT,60000000
3.0,3.0,3.0,4.0,Duplex,Ipaja,Lagos,24000000
4.0,5.0,5.0,2.0,Penthouse,Ado-Odo/Ota,Ogun,6000000
4.0,4.0,5.0,4.0,Detached House,Dape,FCT,45000000
1.0,5.0,5.0,4.0,Flat,Mushin,Lagos,30000000
3.0,3.0,4.0,4.0,Detached House,Ejigbo,Lagos,55000000
9.0,9.0,1.0,1.0,Semi-Detached House,Isolo,Lagos,70000000
3.0,3.0,4.0,4.0,Detached House,Ojodu,Lagos,16000000
5.0,5.0,6.0,4.0,Block Of Flats,Gaduwa,FCT,38000000
4.0,4.0,5.0,4.0,Flat,Enugu,Enugu,28500000
5.0,5.0,6.0,8.0,Detached House,Dakwo,FCT,80000000
5.0,5.0,6.0,1.0,Penthouse,Asokoro District,FCT,150000000
2.0,2.0,2.0,4.0,Duplex,Alimosho,Lagos,10000000
3.0,4.0,4.0,2.0,Maisonette,Sagamu,Ogun,21000000
5.0,5.0,5.0,1.0,Flat,Chikun,Kaduna,60000000
2.0,2.0,3.0,4.0,Terraced House,Egbeda,Oyo,3000000
5.0,7.0,7.0,4.0,Detached House,Wuye,FCT,165000000
5.0,5.0,5.0,4.0,Terraced House,Kubwa,FCT,60900000
4.0,5.0,5.0,4.0,Duplex,Shomolu,Lagos,45000000
4.0,4.0,5.0,1.0,Terraced House,Ogudu,Lagos,75000000
4.0,5.0,5.0,4.0,Bungalow,Owerri West,Imo,150000000
2.0,2.0,2.0,2.0,Bungalow,Ibafo,Ogun,5000000
1.0,4.0,4.0,4.0,Duplex,Surulere,Lagos,50000000
3.0,5.0,5.0,4.0,Flat,Obio-Akpor,Rivers,100000000
2.0,2.0,2.0,4.0,Flat,Ayobo,Lagos,3600000
5.0,6.0,6.0,7.0,Flat,Apo,FCT,85000000
4.0,5.0,5.0,8.0,Flat,Mowe Town,Ogun,10000000
5.0,5.0,7.0,1.0,Semi-Detached House,Ibadan South-West,Oyo,33000000
4.0,6.0,6.0,4.0,Duplex,Wuse 2,FCT,170000000
5.0,5.0,5.0,4.0,Bungalow,Durumi,FCT,130000000
3.0,3.0,4.0,4.0,Semi-Detached House,Simawa,Ogun,35000000
4.0,4.0,5.0,4.0,Bungalow,Arepo,Ogun,80000000
5.0,4.0,5.0,8.0,Detached House,Ikotun,Lagos,20000000
4.0,4.0,5.0,6.0,Maisonette,Oluyole,Oyo,17000000
9.0,9.0,9.0,6.0,Duplex,Maitama District,FCT,700000000
4.0,4.0,5.0,4.0,Detached House,Maryland,Lagos,87000000
3.0,4.0,4.0,4.0,Terraced House,Ido,Oyo,3000000
4.0,4.0,4.0,3.0,Terraced House,Karsana,FCT,35000000
4.0,5.0,5.0,4.0,Flat,Wuse,FCT,140000000
4.0,5.0,5.0,4.0,Maisonette,Ilorin West,Kwara,15000000
4.0,4.0,5.0,4.0,Maisonette,Kurudu,FCT,18000000
4.0,4.0,5.0,2.0,Studio Apartment,Karmo,FCT,45000000
5.0,4.0,4.0,8.0,Terraced House,Abeokuta South,Ogun,12000000
3.0,3.0,3.0,4.0,Semi-Detached House,Km 46,Ogun,24000000
4.0,4.0,5.0,4.0,Studio Apartment,Gbagada,Lagos,60000000
1.0,1.0,1.0,4.0,Duplex,Idimu,Lagos,50000000
5.0,5.0,5.0,4.0,Detached House,Kaduna South,Kaduna,10000000
4.0,4.0,5.0,4.0,Duplex,Magboro,Ogun,19500000
1.0,2.0,2.0,1.0,Bungalow,Gudu,FCT,190000000
5.0,5.0,6.0,6.0,Flat,Kukwaba,FCT,120000000
4.0,5.0,5.0,4.0,Maisonette,Mbora (Nbora),FCT,36000000
3.0,3.0,4.0,5.0,Terraced House,Obafemi Owode,Ogun,15000000
4.0,5.0,5.0,3.0,Maisonette,Jabi,FCT,150000000
3.0,2.0,2.0,4.0,Bungalow,Karu,FCT,17000000
7.0,7.0,1.0,6.0,Terraced House,Ojo,Lagos,25000000
5.0,5.0,6.0,4.0,Studio Apartment,Garki,FCT,300000000
4.0,5.0,5.0,4.0,Duplex,Aba,Abia,30000000
4.0,4.0,4.0,8.0,Terraced House,Ogijo,Ogun,6500000
5.0,5.0,6.0,6.0,Duplex,Asaba,Delta,100000000
3.0,5.0,5.0,4.0,Studio Apartment,Uyo,Akwa Ibom,55000000
3.0,5.0,5.0,4.0,Maisonette,Kosofe,Lagos,50000000
4.0,4.0,5.0,6.0,Studio Apartment,Oyigbo,Rivers,25000000
3.0,3.0,4.0,6.0,Penthouse,Karshi,FCT,20000000
3.0,4.0,4.0,4.0,Bungalow,Osogbo,Osun,25000000
5.0,5.0,6.0,1.0,Block Of Flats,Kado,FCT,1300000000
4.0,4.0,5.0,2.0,Semi-Detached House,Ilupeju,Lagos,70000000
4.0,4.0,4.0,4.0,Studio Apartment,Afijio,Oyo,45000000
1.0,5.0,5.0,4.0,Flat,Ketu,Lagos,25000000
2.0,2.0,2.0,4.0,Studio Apartment,Ado-Ekiti,Ekiti,70000000
1.0,1.0,1.0,2.0,Studio Apartment,Ibadan North,Oyo,300000000
3.0,3.0,3.0,4.0,Duplex,Egor,Edo,27000000
3.0,3.0,3.0,4.0,Duplex,Nyanya,FCT,14500000
3.0,3.0,3.0,4.0,Flat,Ibarapa North,Oyo,10000000
3.0,3.0,4.0,4.0,Studio Apartment,Kyami,FCT,18700000
3.0,2.0,3.0,7.0,Duplex,Ojota,Lagos,75000000
5.0,5.0,5.0,1.0,Semi-Detached House,Dutse,FCT,7000000
3.0,5.0,5.0,4.0,Penthouse,Nasarawa,Nasarawa,15000000
7.0,5.0,5.0,4.0,Bungalow,Calabar,Cross River,25000000
3.0,3.0,3.0,6.0,Flat,Kaduna North,Kaduna,23000000
5.0,6.0,6.0,2.0,Maisonette,Eleme,Rivers,45000000
4.0,4.0,5.0,3.0,Bungalow,Kafe,FCT,22500000
7.0,7.0,8.0,6.0,Maisonette,Oshodi,Lagos,80000000
3.0,3.0,4.0,4.0,Semi-Detached House,Dakibiyu,FCT,27500000
4.0,4.0,5.0,4.0,Studio Apartment,Amuwo Odofin,Lagos,50000000
3.0,3.0,6.0,3.0,Duplex,Ijede,Lagos,12000000
3.0,3.0,4.0,1.0,Flat,Bwari,FCT,13000000
3.0,3.0,3.0,4.0,Flat,Dekina,Kogi,40000000
2.0,7.0,8.0,7.0,Block Of Flats,Jos South,Plateau,500000
1.0,2.0,2.0,2.0,Studio Apartment,Agbara-Igbesa,Lagos,35000000
3.0,2.0,3.0,4.0,Flat,Ijaiye,Lagos,35000000
4.0,5.0,5.0,5.0,Detached House,Kagini,FCT,25000000
4.0,5.0,5.0,4.0,Flat,Ohaji/Egbema,Imo,25000000
5.0,5.0,4.0,4.0,Flat,Mpape,FCT,7000000
5.0,5.0,6.0,4.0,Studio Apartment,Apapa,Lagos,400000000
3.0,5.0,3.0,4.0,Studio Apartment,Lagos Island,Lagos,65000000
2.0,2.0,3.0,2.0,Bungalow,Gwagwalada,FCT,7850000
1.0,5.0,5.0,5.0,Terraced House,Ijoko,Ogun,120000000
4.0,4.0,5.0,3.0,Block Of Flats,Diplomatic Zones,FCT,40000000
3.0,5.0,4.0,4.0,Penthouse,Akure,Anambara,35000000
5.0,5.0,5.0,4.0,Studio Apartment,Ethiope West,Delta,25000000
6.0,4.0,4.0,3.0,Block Of Flats,Badagry,Lagos,4000000
4.0,5.0,2.0,3.0,Penthouse,Kano,Kano,30000000
2.0,2.0,3.0,4.0,Semi-Detached House,Ede South,Osun,6000000
4.0,4.0,5.0,5.0,Maisonette,Ilorin South,Kwara,15000000
5.0,4.0,5.0,4.0,Duplex,Oke-Aro,Ogun,38000000
5.0,5.0,5.0,4.0,Semi-Detached House,Oke-Odo,Lagos,20000000
3.0,5.0,5.0,4.0,Flat,Ikot Ekpene,Akwa Ibom,82000000
8.0,9.0,1.0,4.0,Block Of Flats,Kusada,Katsina,6000000
3.0,5.0,4.0,4.0,Penthouse,Akinyele,Oyo,14000000
3.0,5.0,5.0,4.0,Penthouse,Kabusa,FCT,35000000
3.0,3.0,4.0,4.0,Bungalow,Dei-Dei,FCT,18000000
4.0,5.0,5.0,4.0,Studio Apartment,Eket,Akwa Ibom,25000000
3.0,5.0,5.0,4.0,Semi-Detached House,Egbe,Lagos,35000000
2.0,2.0,2.0,1.0,Penthouse,Udu,Delta,38000000
4.0,3.0,4.0,4.0,Terraced House,Ibadan North-East,Oyo,55000000
4.0,5.0,5.0,4.0,Studio Apartment,Danja,Katsina,15000000
3.0,5.0,5.0,4.0,Flat,Yewa South,Ogun,1500000
4.0,3.0,3.0,4.0,Block Of Flats,Warri,Delta,35000000
4.0,5.0,5.0,4.0,Terraced House,Duboyi,FCT,40000000
2.0,2.0,2.0,4.0,Bungalow,Jikwoyi,FCT,3500000
6.0,6.0,6.0,4.0,Block Of Flats,Oyo West,Oyo,16000000
3.0,5.0,5.0,4.0,Semi-Detached House,Agbara,Ogun,13000000
8.0,5.0,5.0,4.0,Maisonette,Ovia North-East,Edo,19000000
4.0,5.0,5.0,4.0,Block Of Flats,Yenagoa,Bayelsa,20000000
4.0,4.0,5.0,5.0,Flat,Central Business District,FCT,150000000
4.0,4.0,5.0,4.0,Maisonette,Guzamala,Borno,105000000
4.0,4.0,4.0,4.0,Studio Apartment,Lokoja,Kogi,20000000
7.0,4.0,4.0,4.0,Studio Apartment,Jos North,Plateau,27000000
4.0,5.0,5.0,4.0,Penthouse,Orile,Lagos,20000000
4.0,5.0,5.0,4.0,Duplex,Wumba,FCT,50000000
3.0,3.0,4.0,4.0,Block Of Flats,Ibadan North-West,Oyo,35000000
2.0,2.0,3.0,3.0,Bungalow,Eko Atlantic City,Lagos,800000
3.0,2.0,3.0,9.0,Duplex,Imota,Lagos,8000000
4.0,4.0,5.0,1.0,Duplex,Ikwerre,Rivers,20000000
3.0,5.0,5.0,4.0,Semi-Detached House,Keffi,Nasarawa,45000000
4.0,4.0,4.0,4.0,Penthouse,Ilorin East,Kwara,35000000
3.0,3.0,3.0,4.0,Bungalow,Uvwie,Delta,8000000
3.0,3.0,3.0,1.0,Maisonette,Umuahia,Abia,65000000
3.0,2.0,3.0,2.0,Terraced House,Ijesha,Lagos,120000000
3.0,5.0,5.0,1.0,Studio Apartment,Okene,Kogi,40000000
7.0,4.0,5.0,1.0,Maisonette,Aniocha South,Delta,15000000
4.0,4.0,4.0,1.0,Block Of Flats,Ijebu Ode,Ogun,4000000
2.0,3.0,2.0,1.0,Semi-Detached House,Okpe,Delta,8000000
6.0,8.0,8.0,8.0,Bungalow,Ughelli South,Delta,45000000
2.0,2.0,3.0,4.0,Detached House,Ewekoro,Ogun,100000000
3.0,3.0,3.0,4.0,Bungalow,Nassarawa,Kano,30000000
4.0,5.0,5.0,4.0,Duplex,Mararaba,FCT,18000000
3.0,3.0,3.0,3.0,Penthouse,Uhunmwonde,Edo,40000000
1.0,9.0,9.0,6.0,Bungalow,Ughelli North,Delta,18000000
3.0,3.0,4.0,2.0,Detached House,Ibeju,Lagos,15000000
4.0,5.0,5.0,4.0,Block Of Flats,Abraka,Delta,35000000
2.0,2.0,3.0,5.0,Duplex,Paikoro,Niger,40000000
6.0,8.0,8.0,4.0,Studio Apartment,Ikpoba Okha,Edo,18000000
4.0,6.0,3.0,6.0,Penthouse,Numan,Adamawa,73413000
1.0,7.0,4.0,4.0,Bungalow,Nnewi,Anambra,73413000
4.0,2.0,4.0,4.0,Terraced House,Dass,Bauchi,73413000
2.0,4.0,5.0,4.0,Studio Apartment,Otukpo,Benue,73413000
4.0,4.0,5.0,1.0,Flat,Abakaliki,Ebonyi,73413000
4.0,3.0,5.0,4.0,Semi-Detached House,Gombe,Gombe,73413000
4.0,5.0,6.0,1.0,Detached House,Dutse,Jigawa,73413000
3.0,2.0,6.0,4.0,Flat,Birnin Kebbi,Kebbi,73413000
3.0,9.0,4.0,1.0,Flat,Ondo Town,Ondo,73413000
4.0,3.0,5.0,4.0,Maisonette,Gwadabawa,Sokoto,73413000
4.0,5.0,3.0,4.0,Detached House,Jalingo,Taraba,73413000
6.0,4.0,4.0,4.0,Penthouse,Potiskum,Yobe,73413000
3.0,4.0,4.0,1.0,Block Of Flats,Anka,Zamfara,73413000


state,town
Abia,Aba
Abia,Umuahia
Adamawa,Numan
Akwa Ibom,Eket
Akwa Ibom,Ikot Ekpene
Akwa Ibom,Uyo
Anambara,Akure
Anambra,Nnewi
Bauchi,Dass
Bayelsa,Yenagoa
Benue,Otukpo
Borno,Guzamala
Cross River,Calabar
Delta,Abraka
Delta,Aniocha South
Delta,Asaba
Delta,Ethiope West
Delta,Okpe
Delta,Udu
Delta,Ughelli North
Delta,Ughelli South
Delta,Uvwie
Delta,Warri
Ebonyi,Abakaliki
Edo,Egor
Edo,Ikpoba Okha
Edo,Oredo
Edo,Ovia North-East
Edo,Uhunmwonde
Ekiti,Ado-Ekiti
Enugu,Enugu
FCT,Apo
FCT,Asokoro District
FCT,Bwari
FCT,Central Business District
FCT,Dakibiyu
FCT,Dakwo
FCT,Dape
FCT,Dei-Dei
FCT,Diplomatic Zones
FCT,Duboyi
FCT,Durumi
FCT,Dutse
FCT,Gaduwa
FCT,Galadimawa
FCT,Garki
FCT,Gudu
FCT,Guzape District
FCT,Gwagwalada
FCT,Gwarinpa
FCT,Idu Industrial
FCT,Jabi
FCT,Jahi
FCT,Jikwoyi
FCT,Kabusa
FCT,Kado
FCT,Kafe
FCT,Kagini
FCT,Karmo
FCT,Karsana
FCT,Karshi
FCT,Karu
FCT,Katampe
FCT,Kaura
FCT,Kubwa
FCT,Kuje
FCT,Kukwaba
FCT,Kurudu
FCT,Kyami
FCT,Life Camp
FCT,Lokogoma District
FCT,Lugbe District
FCT,Mabushi
FCT,Maitama District
FCT,Mararaba
FCT,Mbora (Nbora)
FCT,Mpape
FCT,Nyanya
FCT,Orozo
FCT,Utako
FCT,Wumba
FCT,Wuse
FCT,Wuse 2
FCT,Wuye
Gombe,Gombe
Imo,Ohaji/Egbema
Imo,Owerri Municipal
Imo,Owerri North
Imo,Owerri West
Jigawa,Dutse
Kaduna,Chikun
Kaduna,Kaduna North
Kaduna,Kaduna South
Kano,Kano
Kano,Nassarawa
Katsina,Danja
Katsina,Kusada
Kebbi,Birnin Kebbi
Kogi,Dekina
Kogi,Lokoja
Kogi,Okene
Kwara,Ilorin East
Kwara,Ilorin South
Kwara,Ilorin West
Lagos,Agbara-Igbesa
Lagos,Agege
Lagos,Ajah
Lagos,Alimosho
Lagos,Amuwo Odofin
Lagos,Apapa
Lagos,Ayobo
Lagos,Badagry
Lagos,Egbe
Lagos,Ejigbo
Lagos,Eko Atlantic City
Lagos,Epe
Lagos,Gbagada
Lagos,Ibeju
Lagos,Ibeju Lekki
Lagos,Idimu
Lagos,Ifako-Ijaiye
Lagos,Ijaiye
Lagos,Ijede
Lagos,Ijesha
Lagos,Ikeja
Lagos,Ikorodu
Lagos,Ikotun
Lagos,Ikoyi
Lagos,Ilupeju
Lagos,Imota
Lagos,Ipaja
Lagos,Isheri
Lagos,Isheri North
Lagos,Isolo
Lagos,Ketu
Lagos,Kosofe
Lagos,Lagos Island
Lagos,Lekki
Lagos,Magodo
Lagos,Maryland
Lagos,Mushin
Lagos,Ogudu
Lagos,Ojo
Lagos,Ojodu
Lagos,Ojota
Lagos,Oke-Odo
Lagos,Orile
Lagos,Oshodi
Lagos,Shomolu
Lagos,Surulere
Lagos,Victoria Island (Vi)
Lagos,Yaba
Nasarawa,Keffi
Nasarawa,Nasarawa
Niger,Paikoro
Ogun,Abeokuta North
Ogun,Abeokuta South
Ogun,Ado-Odo/Ota
Ogun,Agbara
Ogun,Arepo
Ogun,Ewekoro
Ogun,Ibafo
Ogun,Ifo
Ogun,Ijebu Ode
Ogun,Ijoko
Ogun,Km 46
Ogun,Magboro
Ogun,Mowe Ofada
Ogun,Mowe Town
Ogun,Obafemi Owode
Ogun,Ogijo
Ogun,Oke-Aro
Ogun,Sagamu
Ogun,Sango Ota
Ogun,Simawa
Ogun,Yewa South
Ondo,Ondo Town
Osun,Ede South
Osun,Osogbo
Oyo,Afijio
Oyo,Akinyele
Oyo,Egbeda
Oyo,Ibadan
Oyo,Ibadan North
Oyo,Ibadan North-East
Oyo,Ibadan North-West
Oyo,Ibadan South-West
Oyo,Ibarapa North
Oyo,Ido
Oyo,Oluyole
Oyo,Oyo West
Plateau,Jos North
Plateau,Jos South
Rivers,Eleme
Rivers,Ikwerre
Rivers,Obio-Akpor
Rivers,Oyigbo
Rivers,Port Harcourt
Sokoto,Gwadabawa
Taraba,Jalingo
Yobe,Potiskum
Zamfara,Anka


variable_name,data_type
state,object
town,object
House_Type,object
bedrooms,float64
bathrooms,float64
parking_space,float64
